Word,Hiragana,Meaning,Example
作文,さくぶん,essay; composition,彼は毎年夏休みに作文を書きます。 (He writes an essay every summer vacation.)
月末,げつまつ,end of the month,月末にはレポートを提出しなければなりません。 (I must submit the report by the end of the month.)
伝える,つたえる,to convey; to tell,彼女は重要な情報を私に伝えてくれました。 (She conveyed important information to me.)
往復,おうふく,round trip,東京までの往復切符を買いました。 (I bought a round-trip ticket to Tokyo.)
現れる,あらわれる,to appear; to emerge,突然、彼の姿が暗闇から現れました。 (Suddenly, his figure appeared from the darkness.)
初めて,はじめて,for the first time,彼女は初めて日本に来ました。 (She came to Japan for the first time.)
選挙,せんきょ,election,来月、市長選挙があります。 (Next month, there will be a mayoral election.)
父,ちち,father,父は毎朝早く起きて仕事に行きます。 (My father wakes up early every morning to go to work.)
卵料理,たまごりょうり,egg dishes,朝食に卵料理を作りました。 (I made egg dishes for breakfast.)
上手,じょうず,skillful; good at,彼はピアノが上手です。 (He is good at playing the piano.)
濃い,こい,thick; strong (taste),このスープは味が濃いです。 (This soup has a strong taste.)
近所,きんじょ,neighborhood,近所の公園で遊びました。 (I played in the neighborhood park.)
薬局,やっきょく,pharmacy,風邪薬を薬局で買いました。 (I bought cold medicine at the pharmacy.)
曲,きょく,song; music piece,彼女は新しい曲を作曲しました。 (She composed a new song.)
厚い,あつい,thick; kind (person),この本はページが厚いです。 (This book has thick pages.)
連絡,れんらく,contact; communication,彼に連絡を取ってください。 (Please contact him.)
凍る,こおる,to freeze,湖の水が凍っています。 (The lake's water is frozen.)
復習,ふくしゅう,review (study),毎晩、復習をしています。 (I review every night.)
割れる,われる,to break; to crack,窓ガラスが割れました。 (The window glass broke.)
発表,はっぴょう,announcement; presentation,会議で新しいプロジェクトを発表しました。 (I made a presentation about the new project at the meeting.)
遅刻,ちこく,lateness,遅刻してすみませんでした。 (I'm sorry for being late.)
届く,とどく,to reach; to arrive,手紙がやっと届きました。 (The letter finally arrived.)
雨戸,あまど,storm shutter,台風のために雨戸を閉めました。 (I closed the storm shutters due to the typhoon.)
苦手,にがて,weak point; dislike,私は数学が苦手です。 (I'm bad at math.)
信号,しんごう,traffic light,信号が赤なので止まりました。 (I stopped because the traffic light was red.)
加える,くわえる,to add,塩を少し加えてください。 (Please add a little salt.)
速い,はやい,fast,彼は速いランナーです。 (He is a fast runner.)
自信,じしん,confidence,彼女は自信を持ってプレゼンテーションをしました。 (She gave the presentation with confidence.)
移す,うつす,to transfer; to move,データを新しいコンピュータに移しました。 (I transferred the data to the new computer.)
広告,こうこく,advertisement,テレビで新しい商品の広告を見ました。 (I saw an advertisement for a new product on TV.)
